[2026-01-12 14:05:13] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6300 | Threat Level: 49
[2026-01-12 14:05:13] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6900 | Threat Level: 51
[2026-01-12 14:05:14] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5800 | Threat Level: 52
[2026-01-12 14:05:14] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6200 | Threat Level: 54
[2026-01-12 14:05:14] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6300 | Threat Level: 56
[2026-01-12 14:05:15] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5800 | Threat Level: 57
[2026-01-12 14:05:15] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5300 | Threat Level: 58
[2026-01-12 14:05:16] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6000 | Threat Level: 59
[2026-01-12 14:05:16] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.6700 | Threat Level: 61
[2026-01-12 14:05:16] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5900 | Threat Level: 62
[2026-01-12 14:05:17] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5400 | Threat Level: 63
[2026-01-12 14:05:17] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5800 | Threat Level: 64
[2026-01-12 14:05:18] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5100 | Threat Level: 65
[2026-01-12 14:05:18] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5300 | Threat Level: 66
[2026-01-12 14:05:18] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5200 | Threat Level: 67
[2026-01-12 14:05:19] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5700 | Threat Level: 68
[2026-01-12 14:05:19] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5400 | Threat Level: 69
[2026-01-12 14:05:19] CRITICAL: Anomaly detected! Cause: CLEAN | Conf: 0.4700 | Threat Level: 66
[2026-01-12 14:05:20] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5900 | Threat Level: 67
[2026-01-12 14:05:20] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5300 | Threat Level: 68
[2026-01-12 14:05:21] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5800 | Threat Level: 69
[2026-01-12 14:05:21] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5400 | Threat Level: 70
[2026-01-12 14:05:21] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5200 | Threat Level: 71
[2026-01-12 14:05:22] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5400 | Threat Level: 72
[2026-01-12 14:05:22] CRITICAL: Anomaly detected! Cause: MEMORY | Conf: 0.5300 | Threat Level: 73
